event_date,name,img_url,race_link,event_name,location
2018-03-25,"Fituno 10K Challenge
March 25, 2018, Bandung - West Java",https://images.racetec.net/results/thumbs/19723/19723_29.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=29,Fituno 10K Challenge,"March 25, 2018, Bandung - West Java"
2018-02-25,"Run till You Drop 4
Bali Collection Nusa Dua",https://images.racetec.net/results/thumbs/19723/19723_25.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=25,Run till You Drop 4,Bali Collection Nusa Dua
2018-02-04,"GFNY BALI
4 February 2018",https://images.racetec.net/results/thumbs/19723/19723_24.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=24,GFNY BALI,4 February 2018
2017-11-19,"Borobudur Marathon 2017
19 Nov 2017, Borobudur Temple - Central Java",https://images.racetec.net/results/thumbs/19723/19723_21.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=21,Borobudur Marathon 2017,"19 Nov 2017, Borobudur Temple - Central Java"
2017-10-22,"Bangka Duathlon
22 October 2017",https://images.racetec.net/results/thumbs/19723/19723_23.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=23,Bangka Duathlon,22 October 2017
2017-10-15,"CombiRun
15 October 2017 - Q Big, BSD City",https://images.racetec.net/results/thumbs/19723/19723_20.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=20,CombiRun,"15 October 2017 - Q Big, BSD City"
2017-10-08,"Indonesia Goes Pink
8 October 2017 - Nusa Dua, Bali",https://images.racetec.net/results/thumbs/19723/19723_19.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=19,Indonesia Goes Pink,"8 October 2017 - Nusa Dua, Bali"
2017-10-01,"BROMO MARATHON
1 Oct 2017, Pasuruan East Java",https://images.racetec.net/results/thumbs/19723/19723_18.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=18,BROMO MARATHON,"1 Oct 2017, Pasuruan East Java"
2017-09-03,"GFNY INDONESIA 2017
LOMBOK - NUSA TENGGARA BARAT",https://images.racetec.net/results/thumbs/19723/19723_17.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=17,GFNY INDONESIA 2017,LOMBOK - NUSA TENGGARA BARAT
2017-07-22,BENGKULU TRIATHLON 2017,https://images.racetec.net/results/thumbs/19723/19723_14.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=14,BENGKULU TRIATHLON 2017,
2017-07-09,"BANGGAI RUN 2017
Ruas Luwuk - Batui, Kabupaten Banggai",https://images.racetec.net/results/thumbs/19723/19723_13.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=13,BANGGAI RUN 2017,"Ruas Luwuk - Batui, Kabupaten Banggai"
2017-05-14,Jakarta Kizuna Ekiden 2017,https://images.racetec.net/results/thumbs/19723/19723_12.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=12,Jakarta Kizuna Ekiden 2017,
2017-04-22,SUNGAILIAT TRIATHLON 2017,https://images.racetec.net/results/thumbs/19723/19723_11.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=11,SUNGAILIAT TRIATHLON 2017,
2017-03-26,BOSOWA MAKASSAR HALF MARATHON 2017,https://images.racetec.net/results/thumbs/19723/19723_7.png,http://results.scorenow.co.id/results.aspx?CId=19723&RId=7,BOSOWA MAKASSAR HALF MARATHON 2017,
